LON,LAT,EDO,CLAVE,ESTACION,feb-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.3
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",1.0
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0.0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0.0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0.0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",0.0
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0.0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.4
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0.1
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0.0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.0
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",0.0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",1.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",1.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",0.0
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",0.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0.0
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0.6
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",0.8
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0.0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",1.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",0.6
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",31.7
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",22.6
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",41.9
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",28.2
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",29.9
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",9.8
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",36.5
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",3.0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",21.0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",3.0
