LON,LAT,EDO,CLAVE,ESTACION,jul-22,,
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",79.23,,
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",23.50,,
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",128.81,,
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",104.70,,
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",94.50,,
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",71.50,,
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",135.26,,
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",61.21,,
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",55.91,,
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",197.16,,
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",125.14,,
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",43.00,,
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",108.60,,
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",35.60,,
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",36.00,,
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",55.61,,
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",64.02,,
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",66.04,,
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",51.81,,
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",106.80,,
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.00,,
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",7.80,,
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.00,,
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.00,,
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.00,,
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.00,,
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.00,,
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0.00,,
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",2.00,,
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo LeÛn, B.C. SMN*",0.00,,
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0.00,,
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.00,,
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.00,,
