LON,LAT,EDO,CLAVE,ESTACION,nov-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",10.72
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",2.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",9
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",4.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",2.81
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.23
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",4.01
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",3.7
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",6.72
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",5.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",10.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.23
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",1.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",3
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",4.1
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",11.71
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",7.01
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",4.6
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",2.8
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",11
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",22
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",25.21
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",18.2
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",21.52
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",15.1
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",7.7
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo LeÛn, B.C. SMN*",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",30
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",1.6
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",13
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",52
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",18.99
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",36.4
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",23
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",4.2
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",21.19
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",6
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.01
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.05
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
