LON,LAT,EDO,CLAVE,ESTACION,dic-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.01
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0.2
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.51
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",1.2
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0.02
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",0.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",0.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",29.2
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",3.39
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",55.1
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",50.3
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",47.8
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",44.3
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",15.1
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.73
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo LeÛn, B.C. SMN*",1.2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",14.8
